SENTENCE,DATE,EXERCISE,CLASS SEAT,PROTAGONIST IS OBJECT,PROTAGONIST IS AGENT,TYPE,PREVIOUS ACTION,DEPENDENCY 1,DEPENDENCY 2,DEPENDENCY 3
Esta es la historia de Marta.,23/5/18,1-1,3,TRUE,FALSE,Plot Description,,,,
Marta era un chica callada y soñadora.,23/5/18,1-1,3,TRUE,FALSE,Plot Description,,,,
"Ella siempre estaba pensando en sus cosas, en las fantasías que se le pasaban por la cabeza constantemente, en cómo podían ser incluso más fantásticas.",23/5/18,1-1,3,FALSE,TRUE,Plot Description,,Marta era un chica callada y soñadora.,,
"La gente siempre le decía que era muy buena escuchando a los demás, pero lo cierto es que ella prefería desconectar de las aburridas y monótonas historias que la gente le contaba, para pensar en las suyas.",23/5/18,1-1,3,TRUE,TRUE,Plot Description,,"Ella siempre estaba pensando en sus cosas, en las fantasías que se le pasaban por la cabeza constantemente, en cómo podían ser incluso más fantásticas.",,
"Con los años, había perfeccionado esta técnica y ya era como si no estuviera allí con ellos.",23/5/18,1-1,3,FALSE,TRUE,Plot Description,,"La gente siempre le decía que era muy buena escuchando a los demás, pero lo cierto es que ella prefería desconectar de las aburridas y monótonas historias que la gente le contaba, para pensar en las suyas.",,
"Cuando su mejor amiga el contaba por enésima vez la historia repetida de la última conversación con el chico de turno, Marta sabía lo que tenía que contestar sin ni siquiera prestar atención.",23/5/18,1-1,3,TRUE,TRUE,Plot Description,,"Con los años, había perfeccionado esta técnica y ya era como si no estuviera allí con ellos.",,
"Esto se debía no sólo a que la conversación, a pesar de ser “nueva” era exactamente igual a sus predecesoras con chicos equivalentes, sino a que, en realidad, lo que su amiga quería oír era siempre lo mismo: nada o casi nada.",23/5/18,1-1,3,FALSE,FALSE,Plot Description,,"Cuando su mejor amiga el contaba por enésima vez la historia repetida de la última conversación con el chico de turno, Marta sabía lo que tenía que contestar sin ni siquiera prestar atención.",,
"Ella sólo quería contarlo en voz alta, para que fuera de verdad, para que fuera mejor, y para sentirse interesante.",23/5/18,1-1,3,FALSE,TRUE,Plot Description,,"Esto se debía no sólo a que la conversación, a pesar de ser “nueva” era exactamente igual a sus predecesoras con chicos equivalentes, sino a que, en realidad, lo que su amiga quería oír era siempre lo mismo: nada o casi nada.","La gente siempre le decía que era muy buena escuchando a los demás, pero lo cierto es que ella prefería desconectar de las aburridas y monótonas historias que la gente le contaba, para pensar en las suyas.",
Cualquier cosa que Marta pudiera decir tan sólo implicaría menos tiempo para llevar a cabo ese objetivo.,23/5/18,1-1,3,FALSE,TRUE,Plot Description,,"Ella sólo quería contarlo en voz alta, para que fuera de verdad, para que fuera mejor, y para sentirse interesante.","La gente siempre le decía que era muy buena escuchando a los demás, pero lo cierto es que ella prefería desconectar de las aburridas y monótonas historias que la gente le contaba, para pensar en las suyas.",
"La verdad es que, a veces, Marta se sentía culpable.",23/5/18,1-1,3,FALSE,TRUE,Plot Description,,"Ella sólo quería contarlo en voz alta, para que fuera de verdad, para que fuera mejor, y para sentirse interesante.","La gente siempre le decía que era muy buena escuchando a los demás, pero lo cierto es que ella prefería desconectar de las aburridas y monótonas historias que la gente le contaba, para pensar en las suyas.",
"Ella no quería ser mala persona, ni fría, ni mucho menos calculadora o egoísta, así que se se esforzaba por prestar atención, e incluso a veces hasta lo pensaba durante días e intentaba dar consejos valiosos a los demás.",23/5/18,1-1,3,FALSE,TRUE,Plot Description,,"La gente siempre le decía que era muy buena escuchando a los demás, pero lo cierto es que ella prefería desconectar de las aburridas y monótonas historias que la gente le contaba, para pensar en las suyas.",,
"Pero, con los años, Marta se dió cuenta de que as nadie le importaban sus consejos y de que, en la mayoría de los casos, ni si quiera los escuchaban.",23/5/18,1-1,3,FALSE,TRUE,Plot Description,,"Ella no quería ser mala persona, ni fría, ni mucho menos calculadora o egoísta, así que se se esforzaba por prestar atención, e incluso a veces hasta lo pensaba durante días e intentaba dar consejos valiosos a los demás.",,
